feature,index
who-entered,14706
FN=dern,4043
these-military,19384
of-men,13905
PN=wheaton,15023
FN=leaders,6917
PN=coordination,12318
a-devil,19280
their-alleged,13835
i-fall,23462
few-minutes,12889
be-allowed,4170
are-thinking,13847
PN=fears,12336
intend-marriage,25732
heard-candidates,11404
nine-hours,5366
of-playtime,16139
FN=heels,1788
VBN-TO,3458
PN=force,2278
take-people,23839
friday-night,10778
a-focus,10944
new-look,9208
calling-card,4931
police-investigators,16241
a-matter,1471
into-and,10935
PN=platform,7299
the-legendary,6061
april-1945,3959
PV=cost,27041
her-strong,27334
pieces-clearly,26326
FN=politicking,9616
PN=millions,11971
the-economic,9089
t-seem,22361
2003-at,6338
'-tumor,6566
strategic-town,10874
omar-ismail,6811
FN=web,27547
a-furry,8338
politics-for,13004
initial-invasion,27123
day-later,8404
backed-away,4987
1-or,5346
PV=drowning,22487
PV=unify,24488
touch-her,11159
my-work,21360
the-navy,10104
PN=doctors,4976
surf-lifesavers,27650
FN=represent,3214
diocese-dropping,21606
democrat-jumping,25142
attack-trump,4360
security-council,19410
FN=characters,27317
FN=tavis,6629
PV=dotted,7140
the-definition,13726
PN=three,27628
FN=van,20630
with-issues,24342
re-concerned,13480
record-pace,18441
",-aside",7377
"are-,",19367
re-dealing,16496
the-one,4885
his-attack,7879
FN=self,10544
greek-island,6383
security-heightened,264
two-was,21176
little-to,20759
"up-,",12120
up-),24159
it-seem,19548
part-russians,26405
offering-them,14048
PN=havens,16590
his-moving,21895
PV=fetch,26839
a-statement,13563
the-sonic,17189
FN=bang,23495
this-season,7139
threats-specifically,26925
FN=band,17850
FN=cuckoo,6198
cup-final,23383
FN=bank,5707
person-eats,24838
being-detected,16544
power-closely,10115
FN=column,611
the-victims,172
very-nice,15122
VBN-PDT,24944
PN=veteran,12621
london-',12349
about-cruise,24395
PN=scion,8040
previous-efforts,20756
initial-boost,27018
PN=push,22782
PN=reckoning,21376
wait-is,25310
FN=asians,26328
its-imessage,15741
safe-havens,16581
PV=listen,4542
PN=em,18921
PV=listed,5887
PV=pinched,26733
"police-,",8454
police-.,19730
FN=klein,1329
has-walked,24192
more-divided,11974
twitter-and,19212
PN=equivalent,22724
its-publication,26569
"excitement-,",4281
"clothes-,",25113
FN=lunch,27761
t-roll,25673
left-behind,17057
to-vote,9544
come-in,4395
to-live,23773
their-faith,6853
fiorina-is,12598
public-public,15081
PN=deadline,6981
there-but,23421
sign-users,24539
an-interrogation,27467
asian-country,23516
we-rely,9489
many-many,15808
singer-frank,10181
voters-really,25880
the-corner,19581
egypt-’,26395
DT-DT,483
these-expectations,7278
FN=strains,9654
the-bombers,27175
epic-proportions,9373
FN=steal,14213
FN=steam,20643
us-wipe,24979
FN=myanmar,1567
PRP-VB,1961
these-landed,27322
PV=perform,5364
multiple-times,14300
bridge-the,8913
a-trial,20677
pushing-these,24084
everyday-and,15162
",-certainly",5177
PN=blow,13936
PN=finance,21060
join-me,15168
think-that,2926
PN=resolutions,7030
the-sago,17064
at-the,7816
m-talking,12473
PN=malley,5340
FN=playstations,23156
FN=wedding,6235
lax-when,19594
your-body,13648
she-slammed,11001
PN=couch,21942
FN=death,3512
FN=optimism,25896
",-served",10102
just-four,1095
some-point,1529
make-all,3092
PN=nypd,15922
actually-undressing,23467
and-following,6549
FN=gilbert,26101
video-taken,4852
FN=tours,8352
do-well,24174
FN=appearance,18300
"americans-,",19566
americans-.,3309
kidney-cancer,6521
PN=tissue,22091
PV=being,2008
PV=promise,11556
actually-got,3422
PN=values,7402
PN=observation,18784
s-rights,21770
the-unfettered,27003
future-playing,22627
momma-she,20355
export-except,5087
oath-is,27346
PV=rebuild,26880
bills-that,22867
also-voted,27120
):-next,26296
oath-in,26197
outrage-exploding,25119
last-month,26051
all-means,11670
the-delay,16267
of-it,2400
FN=strategy,7810
the-thirteen,15014
more-years,9894
disagree-about,9562
obsessively-trying,8096
protest-their,7748
core-issues,3361
fellow-gop,7920
FN=helicopter,16101
musicians-all,21662
1932-.,10007
:-NN,89
not-named,23274
:-VB,6734
all-troops,5131
but-dressed,12293
a-place,7330
PN=limit,11707
balance-football,13867
sick-soon,4137
this-report,4310
reposition-russia,12708
get-his,5455
americans-to,9559
PN=politician,10021
want-them,1981
his-coverage,10438
the-boston,3660
be-approved,3020
his-national,12533
was-questioned,7237
back-in,15488
dream-team,18872
my-daughter,21366
FN=disney,8380
homeless-people,2115
FN=peter,4535
FN=locker,17984
FN=corset,11018
FN=ingredients,15229
close-to,884
FN=soap,15075
PN=fios,16111
solar-ejection,17895
is-like,16420
28-tackles,18013
our-leadership,12559
my-picture,16421
many-in,14964
the-alarm,26459
been-looking,6000
tuesday-morning,21412
FN=clara,14263
FN=clark,8402
PV=divided,4547
be-trained,922
PV=seared,9875
the-farm,24799
unscathed-.,24133
the-job,9459
the-joe,6525
that-state,11497
PV=jump,2934
brelo-jumped,2231
been-exposed,1930
WRB-VBN,7410
be-closer,5784
my-journey,6623
FN=property,7515
purchase-a,2500
WRB-VBP,22684
simply-drove,19048
it-that,20646
being-fueled,20366
people-underestimating,5420
"ultimately-,",20083
d-have,5591
PRP-MD,1757
on-him,20471
the-website,7987
"2001-,",8062
PV=passionate,16229
FN=nutrition,14302
police-search,21146
family-held,18948
PN=hundreds,2684
PV=spoke,5993
POS-NNS,8539
VB-RP,1187
telescope-compensate,18608
had-maintained,24857
VB-RB,527
PN=working,12921
breach-went,10592
no-wireless,15274
welcoming-the,150
PV=withering,4971
before-then,12587
",-look",9644
PN=arm,27289
PN=are,16172
are-you,22542
have-investigations,19311
fight-those,4697
PN=bedroom,1127
PN=art,10628
FN=supporters,5404
PN=weapon,2493
safe-here,16769
PV=be,237
PV=raising,4197
all-democrats,22909
income-came,21040
a-tough,3250
calls-that,14671
PN=outrage,23804
felony-charges,24210
"retirement-,",18209
based-on,24072
FN=taliban,1373
FN=groups,14467
PV=whistling,27443
the-invasion,27127
FN=innovation,23628
PN=fusion,27154
PV=piled,21939
FN=fold,24617
is-dealing,14404
are-hoping,8870
"attend-,",18830
intensify-auroras,18645
her-and,9358
testing-a,16306
different-states,4472
the-respective,17194
trump-down,13056
gonna-cut,25753
common-decency,22619
is-can,3197
PV=lock,7451
brennan-said,22471
the-lessons,5126
to-rome,1510
little-need,3506
other-fears,18123
president-pointed,10854
any-place,26183
PN=airs,3910
FN=percentage,5651
"testing-,",16308
the-oegs,14412
office-space,6886
concerned-is,3195
PN=sandy,27358
refugees-get,25575
me-bring,12064
lay-it,25925
i-voted,27118
the-maze,22240
PN=jihadis,20732
that-matters,3306
based-companies,22438
that-interrogation,20699
her-ringlets,27672
the-scenes,12819
the-law,3896
offer-zero,5659
rifle-look,23915
ll-finally,20639
him-like,17876
FN=hurricane,1402
each-share,17244
respond-well,6545
PN=exits,14966
or-filling,24580
can-do,17478
smoking-her,26308
a-relationship,14642
FN=myspace,24851
shanghai-and,17008
FN=fair,24139
the-germany,23251
PN=debut,21303
new-airstrikes,23283
them-back,11360
cnn-...,12619
militarily-is,16766
a-rhinoceros,24631
PV=intended,3903
cordless-versions,26195
"light-,",24251
light--,23083
PN=fits,1070
energy-resources,11566
join-them,10127
FN=rentals,7445
FN=sweden,12493
cyber-security,9460
was-treated,15493
a-hamster,27253
PN=executive,11483
PV=ended,13827
the-targets,12315
PN=rights,5899
shock-turned,1293
PV=knocked,4594
the-clock,26867
i-said,11642
PN=theory,13020
actor-john,8365
PN=shares,645
city-equipped,16681
opened-up,9925
i-felt,14134
the-costs,7374
FN=maze,22239
she-spoke,6306
a-coalition,3081
FN=mueller,14634
leader-looks,13096
blocking-traffic,19706
PV=lift,23927
FN=bannerman,15561
social-media,9805
he-looked,13097
PN=vienna,25387
PN=institute,17105
galaxy-known,18239
"annapolis-,",19215
PN=gunmen,23372
adopted-children,818
12-countries,26290
news-investigation,23610
FN=compromise,22232
fund-their,2465
you-dare,9726
to-share,13495
ask-angelika,20682
holders-spain,27265
FN=sun,18155
what-hillary,3773
PN=trail,24593
PN=train,8136
jersey-and,22811
the-talks,9027
sleep-medicine,15441
they-stopped,22362
happens-here,20275
downed-trees,24421
i-campaign,3633
different-packages,15155
PN=moments,10362
anything-or,19782
PN=guest,14453
has-shifted,6967
she-laid,22857
democrats-has,27524
PN=new,4091
PN=dissolution,6466
only-one,6664
PN=neb,19796
spiral-galaxy,18348
people-eager,3433
issues-”,24181
PV=scanning,21167
security-partnership,20767
"finally-,",10770
iconic-ads,19806
PN=titan,18430
FN=rio,1592
t-hold,11605
FN=flight,739
feeling-it,22055
FN=cities,5033
convince-fellow,3724
PN=reference,8922
there-running,20035
an-edge,3850
PN=wait,25309
"phenomenal-,",22534
talking-here,20129
15-shots,2235
PN=maladies,14279
PV=validated,7227
FN=brandon,23535
money-like,17424
the-it,14682
the-is,23342
his-whole,10805
PV=boot,19454
PV=added,26709
i-tiger,17442
"waiter-,",21255
FN=soldiers,13392
PN=theories,12440
PN=feud,23919
that-area,23810
the-move,5199
apec-.,26448
re-taking,26926
12-games,17685
PN=christians,26769
recording-obtained,18894
FN=organizations,13587
massive-searched,24601
PN=jobs,5021
.-279,21292
most-of,4646
"race-,",19834
PN=migrants,13418
my-friends,25585
that-far,24036
PN=temperament,4497
FN=agency,5891
FN=somebody,3021
PN=individuals,6589
talk-to,2072
"god-,",10742
FN=bonuses,18028
getting-myself,13964
FN=height,24016
PV=tonight,13510
also-consults,652
FN=travel,19266
FN=island,13420
her-ex,6324
and-got,13515
the-guest,14458
PV=testify,24317
week-earlier,10453
foreign-fighters,10930
take-isil,24655
tell-us,15456
PV=awake,13679
the-terrorist,19319
own-power,26380
PN=musicality,6707
FN=vagina,22025
PV=chosen,22743
a-neighbor,26424
were-returned,5821
and-other,8520
his-criminal,18912
FN=aspects,20683
"neb-.,",19797
a-poster,9962
PN=endorsements,23091
work-longer,9081
steps-away,8340
PN=concerns,196
there-right,23106
all-coming,12467
the-identity,23360
seeking-entry,25247
about-the,13447
of-atmosphere,17898
out-how,10990
his-version,20128
trump-standing,22494
FN=wake,118
colby-and,1745
latest-update,6882
FN=leadership,2341
a-point,14224
great-way,5868
PV=separated,7598
FN=sotloff,13768
".,-but",8881
bloomberg-',5246
the-cooperation,17186
to-lose,10340
FN=foley,13780
government-does,27114
):-former,2914
some-exchanges,12571
a-national,16185
its-workers,8038
the-wars,23677
posters-and,7754
trump-and,24276
girls-.”,7958
deserve-this,8466
ve-known,16563
noon-a,4093
FN=elizabeth,14994
"reopening-,",26257
about-president,3235
PN=committees,27493
TO-:,16536
around-10,21270
one-year,6459
to-europe,10941
"TO-,",25314
TO-.,16428
asylum-bust,27603
FN=anyone,2911
she-stepped,27242
french-photographer,18625
a-stockpile,11884
mail-his,10211
",-later",19147
FN=cuban,13372
get-ramadi,2609
one-note,8964
old-wife,10726
testing---,16179
"francis-,",1215
PN=step,10636
any-steps,11922
PV=claimed,6447
FN=goal,9065
this-interactive,26082
are-doing,2527
favor-life,3574
FN=commercials,19775
FN=times,4917
FN=sophia,23221
on-things,24200
largest-turtles,17575
her-adoption,1098
PN=refrain,7770
FN=ones,5143
americans-from,11831
"wallis-,",1285
probably-intellectually,24483
FN=myself,16451
the-seventies,6057
PN=kentucky,7606
the-expiration,26489
FN=benson,20616
being-created,9116
FN=customers,19015
dui-arrest,18071
PN=suit,23956
division-series,19641
they-heard,9274
FN=everyone,2442
foreign-affairs,3222
rapists-went,16216
FN=subject,4421
PV=either,7164
a-mockingbird,9796
“-going,6283
feel-official,22795
PN=grows,2602
PN=protests,2195
PN=access,9891
PV=extends,18367
malicious-activity,9499
sunset-thunderstorms,18212
attack-from,14855
an-issue,17354
nelson-mandela,21859
no-money,12012
PN=forces,2625
charge-him,19919
PN=highlights,16707
being-assaulted,21819
PN=buying,7550
the-pole,24967
:-DT,2635
PN=applicants,14659
s-caused,22016
federal-reserve,12046
job-hundreds,7512
CD-DT,1143
PN=censors,9415
typically-charged,24934
PN=developments,13488
me-actually,17374
JJR-CC,14472
another-kansas,23036
PN=bernie,13014
PV=imprisoned,8233
saying-what,3400
FN=universoul,21072
FN=commanders,16540
are-victims,3672
FN=coal,17058
FN=slip,10343
to-simply,20539
the-sinai,24641
FN=months,825
"ran-,",3451
literally-a,22521
PN=urge,7532
the-site,6874
PN=doctor,22051
producing-the,23086
internal-figures,14277
",-the",12089
officers-responded,8412
your-guys,5252
to-report,16963
a-pair,15351
PN=enemy,2629
character-.,22140
republicans-.,25325
"republicans-,",11414
much-earlier,18106
the-fold,24618
PV=discouraging,12669
PN=needs,1090
PV=broadcasting,1691
looking-out,22369
PN=greets,8334
are-surrounded,18450
heart-—,10066
the-andromeda,18457
everyday-public,26369
train-moment,26234
somebody-who,9790
applaud-nebraska,3753
PV=wants,3364
PV=enroll,19971
PN=activity,718
always-part,8681
PV=voted,3460
to-boot,19455
then-tapping,25002
FN=plenty,13652
evolution-.,5333
PN=republican,2696
zenni-optical,15324
least-goals,4147
FN=whatsapp,15752
an-evacuation,14988
FN=years,827
NNPS-RB,5241
our-community,14779
FN=square,5738
FN=chrisman,11114
FN=gloves,18942
PN=anticipation,934
PV=hiding,24733
his-stump,22763
FN=trace,10478
people-standing,21953
to-thinking,22958
FN=fantasy,10907
PV=pending,16353
course-in,3658
FN=california,9149
PV=shepherded,22968
a-hong,2135
pediatric-urology,6540
PN=signatures,18173
thrusting-.,22081
vader-dispenses,8347
top-tier,3283
FN=sunnis,2655
FN=lights,12375
great-misconceptions,3998
many-sexual,16228
:-burdened,14479
have-gone,8981
children-.,17555
PN=territory,2574
faster-payments,21263
run-twice,25868
allow-this,3047
well-because,11705
"start-,",6844
a-backlash,26398
the-body,10747
take-place,2794
PN=problem,480
PRP$-NN,92
PN=bring,13682
of-cambridge,27756
FN=fox,22501
PV=hospitalized,24887
it-not,16260
it-now,19372
a-catholic,20115
also-came,26211
yielding-a,26005
FN=flaws,17541
PV=forcing,6140
cultural-relationships,8876
protein-bar,15251
PRP$-:,3156
FN=greek,26344
on-friday,8720
s-reflective,20961
PN=mouse,27451
PRP$-.,9627
PN=moran,12865
a-stool,21432
forty-they,15407
swift-appreciation,7484
VBG-RB,1273
PN=cupcakes,8278
VBG-RP,2948
placing-refugees,13622
PN=bail,23477
the-freedom,16360
FN=fear,1886
FN=egg,18794
FN=excellence,1721
FN=minister,2265
and-had,6263
settling-in,6609
PN=priority,1603
FN=flashes,20881
FN=sarasota,7562
PN=korea,5072
and-has,12971
statement-talking,17423
winning-economist,12067
FN=selfie,22594
in-accordance,6399
the-enemy,26247
expressing-her,6653
FN=examples,24007
more-familiar,11180
for-five,12106
two-handmade,20215
telegraphing-it,15227
without-looking,26037
your-vulva,22107
FN=crutch,20472
PN=paralysis,22366
PV=lashed,1054
17-coming,4910
PV=finished,19519
its-parent,16010
an-outsider,13343
s-attempt,10296
PV=stemming,18072
asked-questions,27159
up-pressure,6948
FN=injections,3562
you-would,17804
PV=showed,7089
needs-approval,17253
the-sydney,10711
those-images,23048
if-somebody,24713
up-.”,27426
that-got,21990
was-actually,5282
investigators-say,16462
the-outset,9051
would-shoot,17598
about-200,8483
the-loose,13810
our-roundtable,5242
FN=applause,10132
and-compete,13177
PN=globetrotters,14181
PV=loved,20142
our-collision,10895
be-targeted,6745
she-voted,11796
halloween--,18299
illinois-was,26974
cho-met,5884
taking-him,25698
jon-karl,13686
followers-to,11250
his-feud,14630
FN=clock,26866
CC-DT,3586
into-europe,27597
the-heart,6868
PV=picking,16024
here-with,20265
the-murder,8176
loud-every,20957
FN=scalia,23976
centers-run,14306
VBP-IN,2927
business-started,20834
neighborhood-street,21076
some-2,14744
to-china,21817
career-high,14186
who-went,23005
also-diagnosed,1182
other-guys,11698
FN=interrogation,15572
"nightline-""",1533
PV=playing,19052
PV=heard,2252
the-nearest,17753
PN=friday,8719
all-right,18856
PV=hears,26408
to-ban,6607
PN=molenbeek,27304
simple-practice,22241
FN=wesenberg,22456
PN=article,3208
"camp-,",21517
PV=serenaded,4227
doctorate-degrees,1744
the-charity,14505
little-bit,3849
after-this,13226
PV=erupting,18328
the-announcement,6522
additional-officers,23401
FN=isn,17332
PN=chelsey,20848
you-familiar,15107
cnn-anchor,7900
a-typical,23867
security-is,256
transform-that,5082
IN-PRP$,315
PN=carolyn,26725
has-happened,25637
corded-blinds,24846
life-was,24368
child-sleep,18097
PN=positions,27807
FN=watchlist,19325
us-here,14997
an-employer,14912
even-singled,20725
s-most,13712
FN=guise,27273
war-ii,10019
our-world,25020
incident-that,11213
from-having,25448
helping-you,17431
PV=blown,15828
his-holiness,12975
you-up,15920
running-out,12117
to-the,945
FN=finn,8356
to-be,238
more-scrutiny,16801
and---,13256
was-contacted,18059
jelani-says,19998
FN=establishment,5576
PV=ship,17779
PN=boots,3088
foreign-leaders,26450
should-wait,24326
in-the,2337
PV=backed,3528
admit-.,5443
stab-wounds,21553
everybody-else,20027
these-other,4007
the-making,6027
for-a,7538
what-they,2608
FN=northern,18448
and-turn,7100
designs-for,26225
stretch-outward,18576
the-famous,8374
67-percent,13030
be-live,12813
cesarean-section,26550
of-deals,12648
PN=tendrils,17924
a-microphone,17321
PN=recording,18893
FN=walls,22318
figure-gunned,25495
march-18,18223
has-known,22124
FN=negotiations,8853
12-minutes,14200
2011---,25451
march-15,22739
in-from,8609
doors-looking,13479
PN=statewide,2295
no-signs,8150
FN=barbie,16134
issues-chief,13997
handcuffs-when,8435
NNS-NNS,407
NNS-NNP,6310
debate-.,11290
FN=cnn,7898
british-special,4853
FN=saturday,4321
veer-out,4259
FN=communities,2368
the-inclusion,617
edge-.,1832
PV=scheduled,6878
republican-or,3263
a-grocery,21332
been-talking,11790
PV=blasting,2778
the-beliefs,9333
PN=my,6621
the-run,14238
PN=bradley,13174
focus-is,2036
a-day,1407
PN=majors,19635
PV=staying,5341
",-takes",18293
house-now,7466
",-taken",18490
what-wall,16936
olivia-.,26485
miles-northeast,7696
estrogen-levels,22067
",-such",571
FN=milk,10598
PN=collaboration,9045
watching-film,7173
PN=ceos,6925
chow-took,21719
non--,24059
backing-up,5024
a-play,4040
PN=presence,1823
shoes-and,17773
take-military,9883
VBP-TO,16245
your-heart,21654
"nicole-,",24371
immediate-boon,534
FN=order,1712
PV=pouring,8604
:-fly,88
we-travel,20892
PN=instances,23815
did-it,10666
VBD-IN,214
meaning-that,10356
PV=fired,9009
JJ-TO,4206
penalty-of,27343
sunday-shortly,8408
also-moved,26954
FN=rutgers,21061
that-new,1771
is-south,5059
to-lead,24953
to-reporters,23233
64-months,11537
the-help,8612
FN=factors,10301
FN=category,563
is-cleared,4778
join-us,4307
this-image,18251
"aesthetics-.""",10633
who-broke,22562
very-much,10979
FN=range,7856
democrat-—,10225
took-place,13524
isil-plots,20744
needs-(,21012
rome-with,12836
left-over,7350
and-partly,5470
and-grow,17993
FN=allusions,10526
"me-,""",6215
",-gets",13133
):-we,12936
misconduct-in,25979
FN=deals,12609
era-ranges,11032
all-votes,10287
PN=photo,8244
PN=photographer,18624
white-zucchetto,12855
used-later,14082
):-simply,20119
FN=funds,27411
FN=world,1540
"morning-,",13796
radio-america,26768
the-sunni,16739
a-campaign,7806
"october-,",467
of-moments,14956
securing-the,9194
PN=river,26624
serious-trouble,4566
PV=protected,13575
chaos-.,23954
few-details,19715
be-responsible,1781
alvarez-:,23655
vince-',20705
"""-this",22
FN=institutions,13265
front-of,2165
primaries-are,11741
FN=fraud,22435
people-died,23379
threats-come,23120
also-placed,903
general-sort,12082
PN=sovereignty,13431
this-tragedy,11369
cleveland-over,2249
FN=south,3741
medical-cures,14365
FN=(@,23730
also-took,7684
"closely-,",16738
"scottsville-,",7617
cabin-coming,27458
this-once,15042
PN=hidden,6354
FN=vets,12476
to-believe,21200
the-dictionary,13728
PN=barrens,8099
PV=works,2308
",-statewide",2296
be-walking,19398
its-thick,18565
answer-questions,23249
FN=tension,2245
FN=there,25282
gunmen-carrying,23373
that-charging,24264
",-WDT",3104
further-compromise,22233
FN=privacy,860
PN=boynton,1485
disarming-the,27049
banner-hangs,19723
storms-is,17902
FN=fonda,10054
FN=domestic,443
FN=soil,2871
PN=offense,26288
PN=space_station,18183
for-some,3637
sit-by,6264
FN=nicaragua,13380
FN=fivethirtyeight,7711
former-president,3794
vancouver-.,11666
take-a,3509
air-strike,23193
every-corner,8901
everyone-as,22916
full-coverage,15129
those-cases,13678
PV=abide,22266
risk-we,17171
FN=david,1544
latte-foam,10602
many-as,17693
"""-nothing",24864
bad-move,11591
FN=davis,25157
arguing-pick,17381
a-disagreement,14428
our-many,6721
injury-or,13900
just-feel,21475
with-permission,6637
JJ-VBZ,13954
TO-VBN,10759
condition-of,13826
iran-plus,21751
to-mom,24802
condemning-potentially,3549
off-shortly,23270
FN=muscle,15033
FN=performance,14723
FN=confederate,9746
PN=contact,17888
said-it,13729
FN=gerrish,26705
was-getting,1366
as-you,20575
PN=mind,13209
PN=mine,17065
was-time,876
FN=ducey,24521
"set-,",9034
t--,17786
ruffling-feathers,21471
with-bill,16875
PN=yanking,18937
people-dancing,8897
satellite-tonight,15615
think-one,3994
was-asked,7885
was-affiliated,19910
international-friendly,23402
RB-NNP,5414
RB-NNS,4275
PN=comment,9092
PV=streamlined,14724
various-attractions,15283
unique-voice,3159
brandon-crawford,23537
we-kind,9844
PN=league,25899
previous-visits,13597
PN=box,24115
PN=boy,15934
always-felt,26653
exclusive-interview,16704
FN=bomb,23289
",-motivated",16732
uncle-told,370
PN=cremations,20795
as-basically,13276
):-he,23879
among-evangelicals,4378
PV=maintained,24856
team-heads,25525
FN=daughter,5995
dismantling-the,19449
PN=election,10281
a-date,21064
FN=prospect,14341
PN=status,14585
our-neighbors,21353
it-will,10266
is-a,9662
seeing-that,12059
PV=hired,21913
would-allow,6801
concerns-especially,19436
sunlight-filtered,18399
to-discuss,12858
FN=view,4749
be-smart,22837
moderates-on,3296
FN=mistakes,7220
politics-ahead,12810
what-financial,383
the-market,516
"is-,",5421
right-government,12090
conference-call,13644
FN=events,6485
ebola-centers,21799
really-go,16523
he-jumps,27519
racism-in,9243
a-departure,20755
FN=breastfeeding,22071
martha-.,4075
speeds-.,3901
"martha-,",19399
FN=frank,10180
PV=relied,5127
their-witnesses,26054
law-firms,20446
tool-”,13756
PN=stake,12072
a-video,14046
some-study,9666
we-spoke,8934
the-harris,975
FN=mother,22583
PV=pay,17747
his-strategy,23145
could-do,9391
god-as,27418
hi-.,4637
necessary-debate,3289
",”-warren",13534
unravel-.,1049
the-core,12986
FN=roadblocks,5836
officials-said,8523
NNP-RB,245
doing-some,23105
clinton-faced,14879
"paris-,",1794
paris-.,165
walking-right,27023
PN=understanding,24108
NNP-RP,14119
paris-',17843
FN=news,672
the-lion,23791
PV=backing,11389
russell-wilson,11842
felt-themselves,25214
gender-when,24621
cuba-and,12862
iowa-ahead,4300
PN=mustang,26831
nasa-shows,18669
just-heard,4831
PV=medal,27726
police-officer,21792
lincoln-continental,10553
overnight-lit,13500
re-operating,16785
FN=waiter,21252
letter-writing,4000
FN=nakasone,98
gladly-traded,7679
PV=shortened,18010
LST,10183
the-plaza,16444
PN=position,3228
FN=southerners,9294
interest-early,7502
tiffani-schweigart,8494
going-for,19750
participation-has,9069
urge-business,6912
s-plan,2171
i-can,17295
PN=random,11190
your-business,15086
to-all,23853
ripped-off,4500
have-known,23581
i-was,4483
PN=connie,5801
FN=meetings,10062
who-is,3258
as-far,23059
FN=mars,17914
PN=policeman,5877
come-forward,2388
FN=mark,14895
PN=scares,708
man-attacked,26004
PV=recognizing,10116
and-documents,5854
that-plug,25701
a-flourish,12853
the-mountaineer,21930
JJS-VBG,8563
the-polls,4220
JJS-VBD,2644
PV=received,23267
FN=cockpit,25683
FN=murder,6249
PV=fill,14372
still-have,11107
PV=dance,20046
FN=lyrics,25717
and-21,25382
be-attacks,19074
matt-says,13200
---legislatively,22644
VB-EX,17345
not-respond,6823
hawaii-.,27773
PV=act,1188
pictures-coming,13472
FN=interactions,24343
PN=equity,5684
--homed,26965
PN=getaway,25048
marsha-harris,848
the-demons,1159
supersized-outside,21347
any-problem,9865
controlling-for,15186
PN=quarterback,7133
PN=tracking,15901
know-her,14146
PN=rally,21526
FN=insights,21764
FN=cairo,17003
new-observation,18785
derailment-more,26254
san-francisco,11194
FN=wraps,17688
FN=louisville,7639
isil-has,1800
running-water,24722
PV=walk,8306
FN=kick,21615
PN=twin,26661
PN=leaves,27667
panama-are,13438
help-keep,1137
dan-so,15415
the-bombings,27564
massive-difference,4786
PN=determination,4736
FN=passports,8636
PV=blot,18759
that-doesn,2584
FN=actions,7234
rush-headlong,27194
FN=rad,1183
PV=handing,23404
FN=trickle,12976
new-steps,16617
the-laser,19740
whether-he,13210
",-fought",24060
the-interview,17964
coincidence-.,24039
everything-they,19254
thousands-sued,25913
that-idea,22710
earlier-version,8030
its-petitions,17659
PN=tablet,25749
be-shot,8067
hearing-sciences,18104
posted-bail,23478
‘-07,11543
is-here,13359
watched-as,4935
working-hand,12922
if-they,3154
FN=series,3536
nice-turn,22675
a-problem,2094
people-demonize,4495
FN=ft,19365
FN=fx,14625
FN=stand,11640
having-the,18096
leads-pouring,8605
like-the,21117
campaign-trail,24594
"can-,",11916
can-',17473
by-tampering,15507
president-vladimir,23580
you-voted,23835
very-weak,4420
this-form,1663
PN=discipline,2930
PN=food,14491
knock-isis,3087
PN=foot,13285
interest-rates,5680
the-battle,4839
and-drive,14669
are-slated,6920
d-just,3690
one-another,1142
PN=sector,24990
viewers-.,15148
FN=trees,24420
military-action,9885
them-up,4688
FN=accusations,23934
PN=okay,20971
PN=reunion,6021
"namibia-,",1633
on-families,12882
.-forces,4984
an-abc,14278
PN=beginning,4465
PN=misconceptions,3997
a-trace,10479
beating-costa,23420
every-vote,4757
lexington-and,3982
stabilizing-breathing,8734
the-slightest,19899
a-memorial,15600
you-try,19190
fight-broke,14436
a-vacuum,12713
PV=hanging,7814
FN=economy,9058
PV=designed,10267
down-the,16818
iran-’,8933
several-wavelengths,18597
know-getting,26969
FN=conclusion,10149
write-her,8089
FN=main,14502
WP-IN,17540
PV=excerpted,1317
"hostages-,",4860
a-walk,2026
FN=seizure,8832
PN=dotel,15963
FN=parker,5958
buck-foundation,5936
more-attacks,16662
PN=deal,1024
"proportions-,",9375
the-ideal,21350
you-heard,6202
an-upcoming,7590
a-dripping,10701
an-annualized,429
PV=considered,6159
the-table,9057
defying-fear,21850
a-thomas,20380
supply-and,26179
be-participating,7903
was-raised,1747
PN=february,22737
some-other,5316
PN=skid,19741
PV=require,7488
PN=skin,22023
the-got,15102
FN=republic,23438
rallying-cry,8754
more-praise,13143
VBG-TO,2855
the-2008,17023
the-2000,17081
FN=columbia,74
the-2007,23836
PN=candy,17470
FN=pack,11197
PV=leaving,12495
wal--,15643
PN=margin,12007
been-sickened,14802
PN=surge,11749
:-PRP,1260
FN=ben,4200
how-not,8558
FN=bed,10562
PN=operators,16764
FN=edelman,24589
FN=bet,14730
PN=magazine,14616
this-deal,11937
really-going,11501
a-picture,14886
chocolate-bar,16406
PN=michael,2217
FN=stretch,22210
PN=washington,1767
a-virus,22460
PN=hampshire,3128
",-because",990
of-reforms,25231
FN=airlines,14939
s-strategy,21804
hoover-friction,21531
the-wilson,21906
the-sanctity,12797
often-as,15311
flashes-of,20882
he-attacks,136
a-site,27584
manziel-passed,7185
urkel-.,15377
her-grief,25968
PV=knocking,5180
PN=restriction,11128
FN=trepidation,12050
to-celebrate,21287
PN=donvan,21851
last-january,16492
pray-for,7677
]-where,19587
the-infant,18143
the-copious,6716
FN=yi,16053
PN=material,5263
to-flesh,13040
PN=raiders,18030
these-institutions,13266
showing-up,9638
PV=prevent,2535
PV=contracted,14803
are-completely,12633
being-picked,27314
nostalgic-references,10690
PN=swinging,4304
